ProgramName	Tag1	Tag2	Tag3	SophasYesNo	DescriptionLink	Description	SchoolName	TermID	DegreeType	DegreeID	ValidatedDegreeName	DepartmentLink	DualCombined	Concentration	AppInformation	AppRequirement		
Bachelors in Health Services Administration	16	17	27	No	http://ssph.fiu.edu/health_policy/index.html		Florida International University Stempel School of Public Health	Fall 2009		1	Bachelors	www.ssph.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Bachelors in Health Services Administration	16	17	27	No	http://ssph.fiu.edu/health_policy/index.html		Florida International University Stempel School of Public Health	Spring 2009		1	Bachelors	www.ssph.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Dietetics and Nutrition 	33	47	35	No	http://ssph.fiu.edu/dietetics_nutrition/index.html		Florida International University Stempel School of Public Health	Fall 2009		1	Bachelors	www.ssph.fiu.edu		Didactic or Coordinated Program	http://www.sophas.org/schools/FIU.cfm			
Dietetics and Nutrition 	33	47	35	No	http://ssph.fiu.edu/dietetics_nutrition/index.html		Florida International University Stempel School of Public Health	Spring 2009		1	Bachelors	www.ssph.fiu.edu		Didactic or Coordinated Program	http://www.sophas.org/schools/FIU.cfm			
Social Work	35	6	40	No	http://www.socialwork.fiu.edu/BSSW.htm		Florida International University Stempel School of Public Health	Fall 2009		1	Bachelors of Social Work	http://www.socialwork.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Social Work	35	6	40	No	http://www.socialwork.fiu.edu/BSSW.htm		Florida International University Stempel School of Public Health	Spring 2009		1	Bachelors of Social Work	http://www.socialwork.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Health Geographics	24	10	0	Yes			Loma Linda University School of Public Health	Fall 2008		2	BSPH	http://www.llu.edu/llu/sph/bsph/bsph-healthgeographics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Geographics and Biomedical Data Management	24	10	0	Yes			Loma Linda University School of Public Health	Fall 2008		2	BSPH	http://www.llu.edu/llu/sph/bsph/bsph-healthgeographics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Geographics	24	10	0	Yes			Loma Linda University School of Public Health	Fall 2009		2	BSPH	http://www.llu.edu/llu/sph/bsph/bsph-healthgeographics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Geographics and Biomedical Data Management	24	10	0	Yes			Loma Linda University School of Public Health	Fall 2009		2	BSPH	http://www.llu.edu/llu/sph/bsph/bsph-healthgeographics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Geographics	24	10	0	Yes			Loma Linda University School of Public Health	Spring 2009		2	BSPH	http://www.llu.edu/llu/sph/bsph/bsph-healthgeographics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Geographics and Biomedical Data Management	24	10	0	Yes			Loma Linda University School of Public Health	Spring 2009		2	BSPH	http://www.llu.edu/llu/sph/bsph/bsph-healthgeographics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Geographics	24	10	0	Yes			Loma Linda University School of Public Health	Summer 2009		2	BSPH	http://www.llu.edu/llu/sph/bsph/bsph-healthgeographics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Geographics and Biomedical Data Management	24	10	0	Yes			Loma Linda University School of Public Health	Summer 2009		2	BSPH	http://www.llu.edu/llu/sph/bsph/bsph-healthgeographics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Geographics	24	10	0	Yes			Loma Linda University School of Public Health	Winter 2009		2	BSPH	http://www.llu.edu/llu/sph/bsph/bsph-healthgeographics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Geographics and Biomedical Data Management	24	10	0	Yes			Loma Linda University School of Public Health	Winter 2009		2	BSPH	http://www.llu.edu/llu/sph/bsph/bsph-healthgeographics.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Care Administration	16	27	17	Yes			Loma Linda University School of Public Health	Fall 2008		2	BSPH	http://www.llu.edu/llu/sph/bsph/bsph-healthcareadministration.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Care Administration	16	27	17	Yes			Loma Linda University School of Public Health	Fall 2009		2	BSPH	http://www.llu.edu/llu/sph/bsph/bsph-healthcareadministration.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Care Administration	16	27	17	Yes			Loma Linda University School of Public Health	Spring 2009		2	BSPH	http://www.llu.edu/llu/sph/bsph/bsph-healthcareadministration.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Care Administration	16	27	17	Yes			Loma Linda University School of Public Health	Summer 2009		2	BSPH	http://www.llu.edu/llu/sph/bsph/bsph-healthcareadministration.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Health Care Administration	16	27	17	Yes			Loma Linda University School of Public Health	Winter 2009		2	BSPH	http://www.llu.edu/llu/sph/bsph/bsph-healthcareadministration.html			http://www.sophas.org/schools/LomaLinda.cfm	http://www.sophas.org/documents/LomaLinda.pdf		
Epidemiology & Biostatistics	3	11	8	No			Drexel University School of Public Health	Fall 2009		3	Certificate	http://publichealth.drexel.edu/Academics/Degrees/Epi_and_Bio_Certificate/193/			http://www.sophas.org/schools/DrexelUniversity.cfm	http://www.sophas.org/documents/Drexel.pdf		
Social Work	35	0	0	No	http://www.socialwork.fiu.edu/BSSW.htm		Florida International University Stempel School of Public Health	Fall 2009		3	Child Welfare Certificate	www.socialwork.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Social Work	35	0	0	No	http://www.socialwork.fiu.edu/BSSW.htm		Florida International University Stempel School of Public Health	Spring 2009		3	Child Welfare Certificate	www.socialwork.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Community Nutrition	33	20	0	No	http://ssph.fiu.edu/students_affairs/advising_sheets.html		Florida International University Stempel School of Public Health	Fall 2009		3	Graduate Certificate  	www.ssph.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Community Nutrition	33	20	0	No	http://ssph.fiu.edu/students_affairs/advising_sheets.html		Florida International University Stempel School of Public Health	Spring 2009		3	Graduate Certificate  	www.ssph.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Epidemiology	44	11	3	No	http://ssph.fiu.edu/students_affairs/advising_sheets.html		Florida International University Stempel School of Public Health	Fall 2009		3	Graduate Certificate  	www.ssph.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Epidemiology	44	11	3	No	http://ssph.fiu.edu/students_affairs/advising_sheets.html		Florida International University Stempel School of Public Health	Spring 2009		3	Graduate Certificate  	www.ssph.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Health Services Administration	21	16	17	No	http://ssph.fiu.edu/students_affairs/advising_sheets.html		Florida International University Stempel School of Public Health	Fall 2009		3	Graduate Certificate  	www.ssph.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Health Services Administration	21	16	17	No	http://ssph.fiu.edu/students_affairs/advising_sheets.html		Florida International University Stempel School of Public Health	Spring 2009		3	Graduate Certificate  	www.ssph.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Public Health Foundation 	8	47	18	No	http://ssph.fiu.edu/students_affairs/advising_sheets.html		Florida International University Stempel School of Public Health	Fall 2009		3	Graduate Certificate  	www.ssph.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Public Health Foundation 	8	47	18	No	http://ssph.fiu.edu/students_affairs/advising_sheets.html		Florida International University Stempel School of Public Health	Spring 2009		3	Graduate Certificate  	www.ssph.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Environmental Health	10	34	47	No	http://ssph.fiu.edu/students_affairs/advising_sheets.html		Florida International University Stempel School of Public Health	Fall 2009		3	Graduate Certificate  	www.ssph.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Environmental Health	10	34	47	No	http://ssph.fiu.edu/students_affairs/advising_sheets.html		Florida International University Stempel School of Public Health	Spring 2009		3	Graduate Certificate  	www.ssph.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Health Promotion	20	40	47	No	http://ssph.fiu.edu/students_affairs/advising_sheets.html		Florida International University Stempel School of Public Health	Fall 2009		3	Graduate Certificate  	www.ssph.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Health Promotion	20	40	47	No	http://ssph.fiu.edu/students_affairs/advising_sheets.html		Florida International University Stempel School of Public Health	Spring 2009		3	Graduate Certificate  	www.ssph.fiu.edu			http://www.sophas.org/schools/FIU.cfm			
Biostatistics	3	0	0	Yes			George Washington University School of Public Health and Health Services	Fall 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Biostatistics	3	0	0	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Biostatistics	3	0	0	Yes			George Washington University School of Public Health and Health Services	Summer 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Public Health Generalist	8	0	0	Yes			George Washington University School of Public Health and Health Services	Fall 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Public Health Generalist	8	0	0	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Public Health Generalist	8	0	0	Yes			George Washington University School of Public Health and Health Services	Summer 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Epidemiology and Biostatistics	11	0	0	Yes			George Washington University School of Public Health and Health Services	Spring 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/		Health Information Systems	http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Long Term Care	16	0	0	Yes			George Washington University School of Public Health and Health Services	Summer 2009		3	Graduate Certificate	http://www.gwumc.edu/sphhs/departments/			http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
