UniversityName,DegreeType,DualCombined,ValidatedDegreeName,Degree,Program,Concentration,Searchtag1,Searchtag2,Searchtag3,SOPHAS,Term,LinkToDepartment,LinkDescription,,,,,,
Boston University School of Public Health,Doctoral,,6,DrPH,International Health,,25,,,Yes,5,http://sph.bu.edu/drph,,,,,,,
Boston University School of Public Health,Doctoral,,6,DrPH,Maternal & Child Health,,28,,,Yes,5,http://sph.bu.edu/drph,,,,,,,
Boston University School of Public Health,Doctoral,,6,DrPH,Social & Behavioral Sciences,,18,,,Yes,5,http://sph.bu.edu/drph,,,,,,,
Boston University School of Public Health,Doctoral,,71,DSc,Environmental Health Sciences,,10,44,,Yes,5,http://sph.bu.edu/eh,,,,,,,
Boston University School of Public Health,Doctoral,,71,DSc,Epidemiology,,11,4,23,Yes,5,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Doctoral,,71,DSc,Health Service Research,,21,,,Yes,5,http://sph.bu.edu/hpm,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Biostatistics,Master's International Program with the US Peace Corps,3,,,Yes,5,http://sph.bu.edu/bio,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Biostatistics,,3,,,Yes,5,http://sph.bu.edu/bio,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Environmental Health,Master's International Program with the US Peace Corps,10,44,34,Yes,5,http://sph.bu.edu/eh,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Environmental Health,,10,44,34,Yes,5,http://sph.bu.edu/eh,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Epidemiology,Master's International Program with the US Peace Corps,11,23,4,Yes,5,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Epidemiology,,11,23,4,Yes,5,http://sph.bu.edu/epi,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,"Health Law, Bioethics & Human Rights",Master's International Program with the US Peace Corps,19,,,Yes,5,http://sph.bu.edu/hl,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,"Health Law, Bioethics & Human Rights",,19,,,Yes,5,http://sph.bu.edu/hl,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Health Policy & Management,Master's International Program with the US Peace Corps,16,17,27,Yes,5,http://sph.bu.edu/hpm,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Health Policy & Management,,16,17,27,Yes,5,http://sph.bu.edu/hpm,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,International Health,Master's International Program with the US Peace Corps,25,17,27,Yes,5,http://sph.bu.edu/ih ,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,International Health,,25,17,27,Yes,5,http://sph.bu.edu/ih ,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Maternal & Child Health,Master's International Program with the US Peace Corps,28,46,37,Yes,5,http://sph.bu.edu/mch,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Maternal & Child Health,,28,46,37,Yes,5,http://sph.bu.edu/mch,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Social & Behavioral Sciences,Master's International Program with the US Peace Corps,18,30,20,Yes,5,http://sph.bu.edu/sb,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Social & Behavioral Sciences,,18,30,20,Yes,5,http://sph.bu.edu/sb,,,,,,,
Boston University School of Public Health,Masters,,20,MPH,Biostatistics,Master's International Program with the US Peace Corps,3,,,Yes,3,http://sph.bu.edu/bio,,,,,,,
